trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-102.65563932831843,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-137.08807382545626,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-133.21482768955224,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-155.9215240232714,"{0: 6, 1: 7, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-58.63320589934902,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",30,0,-83.8339668579617,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-108.22595170785695,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",30,0,-187.01319861778217,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-119.80267860560542,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780257}",25,0,-124.49205296533958,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",35,0,-216.2523939026572,"{0: 24, 1: 1, 2: 4, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",25,0,-135.1663961937594,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-110.52590048516255,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",30,0,-209.02422442395687,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-129.53278846452812,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-155.3478371925699,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",30,12,-84.66338281024402,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-138.51181556442444,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",20,0,-167.1404513122051,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-103.3577082565621,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9780309147241483}",30,18,5.893613437774002,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,0,-205.5063318427673,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9736663950053749}",30,1,-85.05405206420437,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-126.08191330709829,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-132.28879761841003,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-118.53758571542653,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9637708963658905}",35,0,-169.64473757093847,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-72.81415722270373,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9582438755126972}",25,4,-121.48023163585837,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.955336489125606}",25,2,-83.75294007704589,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9523335698857134}",30,0,-162.46459006378922,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9492354180824408}",25,0,-72.86455719161943,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.946042343528387}",20,0,-117.8455891823365,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9427546655283462}",25,0,-100.26946241989066,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
