trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-283.0164430735954,"{0: 17, 1: 6, 2: 5, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,11,-59.583616402789005,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-73.64723282318127,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-310.59700618834313,"{0: 14, 1: 3, 2: 13, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-53.14323610137508,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-66.55171100153619,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-115.75632050346358,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,12,-3.1605857266678834,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-76.85095796066271,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-141.63249902598454,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-116.0340290222453,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-172.21758968719547,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-188.8611328899195,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-98.90225874207347,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-115.3630432616549,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-79.06049026712498,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-150.7221278591022,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,7,-37.80652372780191,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-69.57799472809475,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,4,-59.72265358904195,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-88.87265439041427,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-154.06515214846965,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-60.41849968692393,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-169.64252278561125,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-103.74883700995288,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-111.89425582855559,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-172.95251106678302,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,3,-98.69647007672789,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-98.1077510366776,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,3,-98.56974507117778,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 1}",1
